Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
17.0,1.9126095119260709,9.584743409445473,1.9116707166921358,9.59378704577098,18.651918004623926,110.3031497159668,18.72951825240023,110.20510218474595,-9.098039215686274,-67.05882352941177,497.0089634961845,3.192179,-2.058632394121577,0.0,0.0,-1.6434094185444572
18.0,1.902113032590307,9.618033988749895,1.9124996681439388,9.598292731540102,18.982350463056836,109.96455656165857,18.75988235884265,110.15202119472795,-9.098039215686274,-67.05882352941177,496.88773185543977,0.011988,-2.06196982823486,0.0,0.0,-1.6426178599213817
19.0,1.8910371511986337,9.651136308914314,1.891034532569284,9.666824963452207,19.314301057476165,109.62859738610021,19.438007345244223,109.4521744109764,-9.411764705882355,-66.66666666666667,496.12271967963824,3.369174,-2.065288280432198,0.0,0.0,-1.6417826161646458
20.0,1.8793852415718169,9.684040286651337,1.8921965193962622,9.671700032771989,19.64766970231181,109.29534606603882,19.46905161639365,109.39359620779514,-9.411764705882355,-66.66666666666667,495.9815396803615,0.011994,-2.068586734241825,0.0,0.0,-1.640903943116927
21.0,1.8671608529944035,9.716735899090601,1.8557127128965396,9.687389511842952,19.982357715976125,108.96487591962436,19.824896460921956,109.33214066157905,-9.568627450980394,-66.66666666666667,496.80325202908205,23.709335,-2.071864179317663,0.0,0.0,-1.6399821099236855
22.0,1.8543677091335748,9.749213186831824,1.833107907843028,9.756092314902794,20.31826779654316,108.6372597092439,20.507064398458702,108.62507467555771,-9.882352941176471,-66.27450980392157,496.02149189760695,0.011004,-2.0751196117487973,0.0,0.0,-1.6390173989507226
23.0,1.8410097069048807,9.781462256978548,1.8347637933631766,9.761525149290932,20.65530399798227,108.31256964327595,20.539008339626662,108.55831680898409,-9.882352941176471,-66.27450980392157,495.85029225481634,0.011001,-2.0783520343669837,0.0,0.0,-1.6380101056976888
24.0,1.8270909152852017,9.8134732861516,1.84426375768746,9.804585949047603,20.9933717069774,107.99087737677279,20.815604570520918,108.03939555469964,-10.0,-66.0,494.6043959303613,2.448125,-2.081560457052092,0.0,0.0,-1.6369605387075703
25.0,1.8126155740732999,9.845236523481399,1.7743111156550717,9.846297668550012,21.332377620360106,107.67225401107729,21.58323093401341,107.77490010640238,-10.352941176470587,-65.88235294117646,495.84929322764975,1.249066,-2.0847438970353864,0.0,0.0,-1.6358690194721792
26.0,1.797588092598334,9.876742293578154,1.8286249053682604,9.894510065145477,21.67222972318059,107.35677009238363,21.615920161135186,107.05917347048015,-10.352941176470587,-65.49019607843138,493.0844543653261,0.011024,-2.087901379200558,0.0,0.0,-1.6347358823336786
27.0,1.7820130483767358,9.907980999479093,1.831013082106705,9.900575809163252,22.012837267437362,107.04449560925121,21.64833063548849,106.98226126345968,-10.352941176470587,-65.49019607843138,492.8740369603042,0.011,-2.0910319363824112,0.0,0.0,-1.6335614743821685
28.0,1.765895185717854,9.938943125571782,1.7940274201138582,9.91720302152647,22.354110751483123,106.73549998908214,22.008944132929987,106.9026697817039,-10.509803921568626,-65.49019607843138,493.6375115256056,13.41375,-2.0941346096631146,0.0,0.0,-1.6323461553493708
