Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
10.0,1.969615506024416,9.34729635533386,1.9051025098191143,9.280102073195712,16.39011230778992,112.74072793365345,16.27860309654098,113.69188527645778,-8.0,-69.0,503.6033503954541,0.006999,-2.0348253870676225,0.0,0.0,-1.647708482267504
11.0,1.963254366895328,9.381617990753089,2.038523675942275,9.392126711908164,16.706992157450344,112.38581349756235,16.306134277108104,112.01155502187902,-8.0,-68.0,496.9646229188404,0.337021,-2.038266784638513,0.0,0.0,-1.6472287503217502
12.0,1.9562952014676114,9.41582338163552,2.038394250886378,9.39541985762744,17.02613219410005,112.03299979531742,16.333571685991785,111.9758666201882,-8.0,-68.0,496.90418153872815,0.005012,-2.041696460748973,0.0,0.0,-1.6467039208851206
13.0,1.9487401295704705,9.44990210868773,1.8635421973415078,9.41700434058177,17.347421785515287,111.68236478484059,17.644115304660296,112.32444820425943,-8.627450980392155,-68.23529411764707,502.2301387310186,0.019001,-2.045113364858353,0.0,0.0,-1.6461341547175947
14.0,1.940591452551993,9.483843791199336,1.863618662431465,9.420779661442541,17.670751885590796,111.33398581502917,17.673475257819597,112.2825156799214,-8.627450980392155,-68.23529411764707,502.1504884931444,0.006012,-2.048516450338181,0.0,0.0,-1.6455196263436753
15.0,1.9318516525781366,9.517638090205041,1.8088840500856982,9.475378338362518,17.996015007419274,110.9879396362546,18.467142073134816,111.85051563192738,-9.0,-68.0,502.803488747114,1.34708,-2.051904674792757,0.0,0.0,-1.644860523998932
16.0,1.9225233918766378,9.551274711633999,1.8092727844694325,9.479577274189454,18.323105196568584,110.6443024097616,18.497493003406007,111.80267937091938,-9.0,-68.0,502.7031964938955,20.268782,-2.055277000378445,0.0,0.0,-1.6441570495723439
17.0,1.9126095119260709,9.584743409445473,1.942787998467622,9.593339637249876,18.651918004623926,110.3031497159668,18.527691547094193,110.10843104247863,-9.0,-67.0,496.0167988111971,11.475669,-2.058632394121577,0.0,0.0,-1.6434094185444572
18.0,1.902113032590307,9.618033988749895,1.9436691926147205,9.597825098875132,18.982350463056836,109.96455656165857,18.557728454113743,110.05539661473257,-9.0,-67.0,495.89477182127155,0.007012,-2.06196982823486,0.0,0.0,-1.6426178599213817
19.0,1.8910371511986337,9.651136308914314,1.9448086907478723,9.602494656236033,19.314301057476165,109.62859738610021,18.587594523889784,109.99943528303127,-9.0,-67.0,495.76052470379443,0.012013,-2.065288280432198,0.0,0.0,-1.6417826161646458
