Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Time
0.0,2.0,9.0,1.9150718149846035,9.019911820578507,13.371151196456493,116.38779996124302,14.117647058823536,116.47058823529412,-7.058823529411768,-77.6470588235294,4.390637
1.0,1.9996953903127825,9.034904812874567,1.9150718149846035,9.019911820578507,13.658976234733828,116.01630955481751,14.117647058823536,116.47058823529412,-7.058823529411768,-77.6470588235294,0.015614
2.0,1.9987816540381915,9.069798993405001,1.9150718149846035,9.019911820578507,13.950260910843822,115.64610371572238,14.117647058823536,116.47058823529412,-7.058823529411768,-77.6470588235294,0.0
3.0,1.9972590695091477,9.104671912485887,2.0053050359893945,9.081278873924326,14.244877270363155,115.27726730938794,14.0,115.5,-7.0,-77.0,14.265634
4.0,1.9951281005196484,9.139512947488251,2.0053050359893945,9.081278873924326,14.542699204814118,114.90988442753192,14.0,115.5,-7.0,-77.0,0.015623
5.0,1.992389396183491,9.174311485495316,2.0053050359893945,9.081278873924326,14.84360242819041,114.54403840940182,14.0,115.5,-7.0,-77.0,23.578194
6.0,1.9890437907365466,9.209056926535307,2.0053050359893945,9.081278873924326,15.147464452556543,114.17981186198529,14.0,115.5,-7.0,-77.0,21.421908
7.0,1.985092303282644,9.243738686810294,1.910844517510677,9.250090793615865,15.45416456287775,113.81728667917518,16.0,114.0,-8.0,-76.0,0.624996
8.0,1.9805361374831407,9.278346201920131,1.910844517510677,9.250090793615865,15.763583791227218,113.45654405987653,16.0,114.0,-8.0,-76.0,0.0
9.0,1.9753766811902755,9.312868930080462,1.910844517510677,9.250090793615865,16.07560489050443,113.09766452504583,16.0,114.0,-8.0,-76.0,0.0
10.0,1.969615506024416,9.34729635533386,1.910844517510677,9.250090793615865,16.39011230778992,112.74072793365345,16.0,114.0,-8.0,-76.0,21.375012
11.0,1.963254366895328,9.381617990753089,2.0324823558041967,9.34947307601648,16.706992157450344,112.38581349756235,16.0,112.5,-8.0,-75.0,20.609402
12.0,1.9562952014676114,9.41582338163552,2.0324823558041967,9.34947307601648,17.02613219410005,112.03299979531742,16.0,112.5,-8.0,-75.0,21.359404
13.0,1.9487401295704705,9.44990210868773,1.9524495603183256,9.441322979971083,17.347421785515287,111.68236478484059,17.25490196078431,111.76470588235296,-8.627450980392155,-74.50980392156863,12.906251
14.0,1.940591452551993,9.483843791199336,1.9524495603183256,9.441322979971083,17.670751885590796,111.33398581502917,17.25490196078431,111.76470588235296,-8.627450980392155,-74.50980392156863,0.0
15.0,1.9318516525781366,9.517638090205041,1.9304167514718973,9.51697773499151,17.996015007419274,110.9879396362546,18.0,111.0,-9.0,-74.0,5.640636
16.0,1.9225233918766378,9.551274711633999,1.9304167514718973,9.51697773499151,18.323105196568584,110.6443024097616,18.0,111.0,-9.0,-74.0,0.015611
17.0,1.9126095119260709,9.584743409445473,1.9304167514718973,9.51697773499151,18.651918004623926,110.3031497159668,18.0,111.0,-9.0,-74.0,0.0
18.0,1.902113032590307,9.618033988749895,1.821686403048866,9.681868360280331,18.982350463056836,109.96455656165857,20.0,109.5,-10.0,-73.0,20.718791
19.0,1.8910371511986337,9.651136308914314,1.821686403048866,9.681868360280331,19.314301057476165,109.62859738610021,20.0,109.5,-10.0,-73.0,0.015628
20.0,1.8793852415718169,9.684040286651337,1.821686403048866,9.681868360280331,19.64766970231181,109.29534606603882,20.0,109.5,-10.0,-73.0,0.0
21.0,1.8671608529944035,9.716735899090601,1.821686403048866,9.681868360280331,19.982357715976125,108.96487591962436,20.0,109.5,-10.0,-73.0,0.015634
22.0,1.8543677091335748,9.749213186831824,1.821686403048866,9.681868360280331,20.31826779654316,108.6372597092439,20.0,109.5,-10.0,-73.0,0.015579
23.0,1.8410097069048807,9.781462256978548,1.9754834772957652,9.853905712454944,20.65530399798227,108.31256964327595,20.39215686274514,107.05882352941177,-10.19607843137257,-71.37254901960785,20.843741
24.0,1.8270909152852017,9.8134732861516,1.9441868727615006,9.780185381594345,20.9933717069774,107.99087737677279,20.0,108.0,-10.0,-72.0,17.265649
25.0,1.8126155740732999,9.845236523481399,1.9754834772957652,9.853905712454944,21.332377620360106,107.67225401107729,20.39215686274514,107.05882352941177,-10.19607843137257,-71.37254901960785,22.703152
