Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
0.0,2.0,9.0,1.966776812567245,9.063706118761907,13.371151196456493,116.38779996124302,14.117647058823536,115.8235294117647,-7.058823529411768,-70.19607843137254,505.6470588235294,1.6941,-2.0,0.0,0.0,-1.6500000000000001
1.0,1.9996953903127825,9.034904812874567,1.9642912451419203,9.064662147506056,13.658976234733828,116.01630955481751,14.142354374718824,115.82191678498512,-7.058823529411768,-70.19607843137254,505.71473026409694,0.015,-2.003500203085166,0.0,0.0,-1.6499770268252072
2.0,1.9987816540381915,9.069798993405001,1.9620647673116123,9.065833899819863,13.950260910843822,115.64610371572238,14.167054122540955,115.81707939860854,-7.058823529411768,-70.19607843137254,505.76947996205706,0.007,-2.0069993340266343,0.0,0.0,-1.6499081143377197
3.0,1.9972590695091477,9.104671912485887,1.9600978365280097,9.067221286856874,14.244877270363155,115.27726730938794,14.191738736534944,115.80901873436987,-7.058823529411768,-70.19607843137254,505.8112911470843,0.019001,-2.010496321009116,0.0,0.0,-1.6497932836460514
4.0,1.9951281005196484,9.139512947488251,1.95839086815676,9.068824110213622,14.542699204814118,114.90988442753192,14.216400655581426,115.79773726132312,-7.058823529411768,-70.19607843137254,505.84015101203676,0.007997,-2.0139900928740344,0.0,0.0,-1.649632569923877
5.0,1.992389396183491,9.174311485495316,2.1147389579284783,9.198668228502092,14.84360242819041,114.54403840940182,14.241032325512714,113.84273723226234,-7.058823529411768,-69.01960784313725,498.0940459055875,2.04812,-2.0174795794476337,0.0,0.0,-1.6494260223992556
6.0,1.9890437907365466,9.209056926535307,2.1135131484354717,9.200700666116447,15.147464452556543,114.17981186198529,14.265626201426691,113.82532233872985,-7.058823529411768,-69.01960784313725,498.0981679591995,0.009995,-2.0209637118687804,0.0,0.0,-1.6491737043395518
7.0,1.985092303282644,9.243738686810294,1.9077383095272413,9.271920283762308,15.45416456287775,113.81728667917518,16.195531383330927,113.77242281921203,-8.0,-69.0,503.6762854268409,2.122136,-2.024441422916366,0.0,0.0,-1.6488756930320583
8.0,1.9805361374831407,9.278346201920131,1.9066015328997725,9.27443931192063,15.763583791227218,113.45654405987653,16.223293178689655,113.74871350346201,-8.0,-69.0,503.664733549917,0.017003,-2.027911647336207,0.0,0.0,-1.6485320797603191
9.0,1.9753766811902755,9.312868930080462,1.9057228428689506,9.277166848948156,16.07560489050443,113.09766452504583,16.25098657733873,113.72186491455582,-8.0,-69.0,503.64041939023946,0.009002,-2.031373322167341,0.0,0.0,-1.6481429697761714
10.0,1.969615506024416,9.34729635533386,1.9051025098191143,9.280102073195712,16.39011230778992,112.74072793365345,16.27860309654098,113.69188527645778,-8.0,-69.0,503.6033503954541,0.006,-2.0348253870676225,0.0,0.0,-1.647708482267504
11.0,1.963254366895328,9.381617990753089,2.038523675942275,9.392126711908164,16.706992157450344,112.38581349756235,16.306134277108104,112.01155502187902,-8.0,-68.0,496.9646229188404,0.898053,-2.038266784638513,0.0,0.0,-1.6472287503217502
