Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time
14.0,1.940591452551993,9.483843791199336,2.0027407159524957,9.449879169450906,17.670751885590796,111.33398581502917,17.0,111.5,1.0,61.0,5.0,0.012986
15.0,1.9318516525781366,9.517638090205041,2.0027407159524957,9.449879169450906,17.996015007419274,110.9879396362546,17.0,111.5,1.0,61.0,5.0,0.008
16.0,1.9225233918766378,9.551274711633999,2.0027407159524957,9.449879169450906,18.323105196568584,110.6443024097616,17.0,111.5,1.0,61.0,5.0,0.008017
17.0,1.9126095119260709,9.584743409445473,1.8566421319293163,9.583156427069259,18.651918004623926,110.3031497159668,19.0,110.5,8.0,71.0,1.0,1.496098
18.0,1.902113032590307,9.618033988749895,1.8566421319293163,9.583156427069259,18.982350463056836,109.96455656165857,19.0,110.5,8.0,71.0,1.0,0.006001
19.0,1.8910371511986337,9.651136308914314,1.8566421319293163,9.583156427069259,19.314301057476165,109.62859738610021,19.0,110.5,8.0,71.0,1.0,0.011988
20.0,1.8793852415718169,9.684040286651337,1.8566421319293163,9.583156427069259,19.64766970231181,109.29534606603882,19.0,110.5,8.0,71.0,1.0,0.006002
21.0,1.8671608529944035,9.716735899090601,1.8566421319293163,9.583156427069259,19.982357715976125,108.96487591962436,19.0,110.5,8.0,71.0,1.0,0.007004
22.0,1.8543677091335748,9.749213186831824,1.9791426016419509,9.681473448383272,20.31826779654316,108.6372597092439,19.0,109.0,8.0,70.0,1.0,0.667013
23.0,1.8410097069048807,9.781462256978548,1.9791426016419509,9.681473448383272,20.65530399798227,108.31256964327595,19.0,109.0,8.0,70.0,1.0,0.004999
24.0,1.8270909152852017,9.8134732861516,1.6358418216066268,9.737542279804053,20.9933717069774,107.99087737677279,21.647058823529413,109.41176470588235,10.823529411764707,72.94117647058823,0.0,0.033001
25.0,1.8126155740732999,9.845236523481399,1.6358418216066268,9.737542279804053,21.332377620360106,107.67225401107729,21.647058823529413,109.41176470588235,10.823529411764707,72.94117647058823,0.0,0.005005
26.0,1.797588092598334,9.876742293578154,1.7063774692814881,9.843906219209341,21.67222972318059,107.35677009238363,22.0,108.0,2.0,56.0,6.0,0.874047
27.0,1.7820130483767358,9.907980999479093,1.7063774692814881,9.843906219209341,22.012837267437362,107.04449560925121,22.0,108.0,2.0,56.0,6.0,0.008002
28.0,1.765895185717854,9.938943125571782,1.7063774692814881,9.843906219209341,22.354110751483123,106.73549998908214,22.0,108.0,2.0,56.0,6.0,0.009001
29.0,1.7492394142787915,9.969619240492674,1.7063774692814881,9.843906219209341,22.69596190012143,106.42985209357403,22.0,108.0,2.0,56.0,6.0,0.012
30.0,1.7320508075688774,10.0,1.7442577105178758,9.875427334578555,23.03830364540564,106.12762021316077,22.0,107.52941176470588,2.0,55.68627450980392,6.0,0.010984
31.0,1.7143346014042247,10.030076149820108,1.6263408307335405,9.906822564535828,23.381050108149037,105.82887206045494,23.0,107.5,1.0,53.0,7.0,0.618015
32.0,1.696096192312852,10.05983852846641,1.5267249618348506,9.937151205389215,23.724116580152597,105.5336747627065,23.88235294117647,107.41176470588235,8.941176470588236,66.27450980392156,2.0,0.026004
33.0,1.677341135890848,10.089278070030055,1.5732147590867531,9.97756416958406,24.067419507154135,105.24209485329408,23.88235294117647,106.8235294117647,8.941176470588236,65.88235294117646,2.0,0.067005
34.0,1.6580751451100832,10.118385806941493,1.5732147590867531,9.97756416958406,24.410876472500703,104.95419826226525,23.88235294117647,106.8235294117647,8.941176470588236,65.88235294117646,2.0,0.006022
35.0,1.6383040885779836,10.147152872702092,1.417043988500577,10.123961205468476,24.754406181543438,104.67005030594537,26.0,105.5,10.0,65.0,2.0,0.201011
36.0,1.618033988749895,10.175570504584947,1.417043988500577,10.123961205468476,25.097928446752622,104.389715675633,26.0,105.5,10.0,65.0,2.0,0.005
37.0,1.5972710200945857,10.203630046304097,1.417043988500577,10.123961205468476,25.441364173547903,104.11325842540413,26.0,105.5,10.0,65.0,2.0,0.005986
38.0,1.5760215072134438,10.231322950651316,1.417043988500577,10.123961205468476,25.78463534683769,103.84074195904645,26.0,105.5,10.0,65.0,2.0,0.01
39.0,1.5542919229139418,10.258640782099675,1.417043988500577,10.123961205468476,26.127665018259417,103.57222901614766,26.0,105.5,10.0,65.0,2.0,0.032003
40.0,1.532088886237956,10.28557521937308,1.4517631790621164,10.154440662131865,26.470377294110488,103.30778165736245,26.0,105.05882352941177,10.0,64.70588235294117,2.0,0.052
41.0,1.509419160445544,10.312118057981014,1.5644245493390665,10.250163560335814,26.81269732395876,103.04746124888428,26.000000000000004,103.6470588235294,9.647058823529413,63.13725490196078,2.235294117647059,0.264
42.0,1.4862896509547885,10.338261212717716,1.5644245493390665,10.250163560335814,27.154551289919166,102.79132844615005,26.000000000000004,103.6470588235294,9.647058823529413,63.13725490196078,2.235294117647059,0.005013
43.0,1.462707403238341,10.363996720124996,1.5644245493390665,10.250163560335814,27.495866396582063,102.53944317680605,26.000000000000004,103.6470588235294,9.647058823529413,63.13725490196078,2.235294117647059,0.005989
44.0,1.4386796006773024,10.389316740917995,1.6120567143944653,10.289223588186186,27.83657086157725,102.29186462296636,26.000000000000004,103.05882352941175,9.647058823529413,62.745098039215684,2.235294117647059,0.016003
45.0,1.4142135623730951,10.414213562373096,1.3311820616012313,10.286742775465768,28.176593906756246,102.04865120279506,27.764705882352942,103.76470588235293,10.705882352941178,63.52941176470588,2.1176470588235294,0.269029
46.0,1.3893167409179945,10.438679600677302,1.2204321334122064,10.493734324734012,28.515865749974164,101.80986055144622,30.0,101.5,0.0,41.0,10.0,0.084004
47.0,1.363996720124997,10.46270740323834,1.2204321334122064,10.493734324734012,28.854317597451264,101.57554950139573,30.0,101.5,0.0,41.0,10.0,0.006016
48.0,1.3382612127177165,10.486289650954788,1.2204321334122064,10.493734324734012,29.191881636692965,101.34577406220221,30.0,101.5,0.0,41.0,10.0,0.007983
49.0,1.3121180579810146,10.509419160445544,1.2204321334122064,10.493734324734012,29.528491029946235,101.12058939973349,30.0,101.5,0.0,41.0,10.0,0.007998
50.0,1.2855752193730787,10.532088886237956,1.2204321334122064,10.493734324734012,29.86407990816859,100.9000498148992,30.0,101.5,0.0,41.0,10.0,0.006984
51.0,1.258640782099675,10.554291922913942,1.2204321334122064,10.493734324734012,30.198583365485902,100.68420872192817,30.0,101.5,0.0,41.0,10.0,0.008001
52.0,1.2313229506513166,10.576021507213444,1.2458699411992855,10.516112079687147,30.531937454112832,100.47311862623424,30.0,101.17647058823529,0.0,40.78431372549019,10.0,0.006988
53.0,1.2036300463040968,10.597271020094585,1.2458699411992855,10.516112079687147,30.864079179710377,100.26683110191196,30.0,101.17647058823529,0.0,40.78431372549019,10.0,0.007017
54.0,1.1755705045849463,10.618033988749895,1.2458699411992855,10.516112079687147,31.194946497152696,100.06539676890762,30.0,101.17647058823529,0.0,40.78431372549019,10.0,0.007
55.0,1.1471528727020923,10.638304088577984,1.3083558211641204,10.697012790294727,31.524478306675533,99.86886526991056,30.941176470588232,98.82352941176471,11.058823529411764,58.03921568627452,2.941176470588235,0.142007
56.0,1.1183858069414936,10.658075145110084,1.3083558211641204,10.697012790294727,31.852614450377406,99.67728524701151,30.941176470588232,98.82352941176471,11.058823529411764,58.03921568627452,2.941176470588235,0.006001
57.0,1.0892780700300542,10.677341135890849,1.3083558211641204,10.697012790294727,32.17929570904392,99.49070431817574,30.941176470588232,98.82352941176471,11.058823529411764,58.03921568627452,2.941176470588235,0.010987
58.0,1.0598385284664098,10.696096192312853,1.3083558211641204,10.697012790294727,32.50446379926537,99.30916905357935,30.941176470588232,98.82352941176471,11.058823529411764,58.03921568627452,2.941176470588235,0.018002
59.0,1.0300761498201083,10.714334601404225,1.3083558211641204,10.697012790294727,32.828061370816684,99.13272495185869,30.941176470588232,98.82352941176471,11.058823529411764,58.03921568627452,2.941176470588235,0.014989
60.0,1.0000000000000002,10.732050807568877,1.1892228728580587,10.819924593131784,33.150032004268674,98.96141641632279,32.58823529411765,97.52941176470588,14.352941176470589,61.568627450980394,1.2941176470588236,1.214081
61.0,0.9696192404926742,10.749239414278792,1.1892228728580587,10.819924593131784,33.470320208798746,98.79528673118013,32.58823529411765,97.52941176470588,14.352941176470589,61.568627450980394,1.2941176470588236,0.006012
62.0,0.9389431255717817,10.765895185717854,1.1892228728580587,10.819924593131784,33.78887142016941,98.63437803783113,32.58823529411765,97.52941176470588,14.352941176470589,61.568627450980394,1.2941176470588236,0.006987
63.0,0.9079809994790937,10.782013048376736,1.1892228728580587,10.819924593131784,34.10563199884182,98.47873131127817,32.58823529411765,97.52941176470588,14.352941176470589,61.568627450980394,1.2941176470588236,0.012996
64.0,0.8767422935781549,10.797588092598334,1.1892228728580587,10.819924593131784,34.420549228192215,98.32838633670613,32.58823529411765,97.52941176470588,14.352941176470589,61.568627450980394,1.2941176470588236,0.007004
65.0,0.8452365234813989,10.8126155740733,0.7094566799348447,10.720961313031365,34.73357131279816,98.18338168628541,35.0,99.5,10.0,53.0,5.0,0.674054
66.0,0.8134732861516004,10.827090915285202,0.7094566799348447,10.720961313031365,35.04464737676227,98.04375469625035,35.0,99.5,10.0,53.0,5.0,0.007002
67.0,0.7814622569785474,10.841009706904881,0.7094566799348447,10.720961313031365,35.35372746204008,97.90954144430555,35.0,99.5,10.0,53.0,5.0,0.007991
68.0,0.7492131868318239,10.854367709133575,0.7094566799348447,10.720961313031365,35.66076252673994,97.7807767274123,35.0,99.5,10.0,53.0,5.0,0.008015
69.0,0.7167358990906008,10.867160852994404,0.712153182139792,10.951858221362887,35.965704443362014,97.65749404000763,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.894052
70.0,0.6840402866513376,10.879385241571816,0.712153182139792,10.951858221362887,36.26850599694415,97.53972555270668,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.012001
71.0,0.6511363089143135,10.891037151198633,0.712153182139792,10.951858221362887,36.569120883082945,97.4275020915397,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.016
72.0,0.6180339887498949,10.902113032590307,0.712153182139792,10.951858221362887,36.86750370579793,97.32085311777364,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.011011
73.0,0.5847434094454735,10.912609511926071,0.712153182139792,10.951858221362887,37.16360997520839,97.21980670836732,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.016001
74.0,0.5512747116339983,10.922523391876638,0.712153182139792,10.951858221362887,37.45739610499201,97.12438953710753,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.008001
75.0,0.5176380902050415,10.931851652578137,0.712153182139792,10.951858221362887,37.74881940959545,97.03462685647345,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.008003
76.0,0.48384379119933535,10.940591452551994,0.712153182139792,10.951858221362887,38.03783810116817,96.95054248027368,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.008001
77.0,0.44990210868772984,10.94874012957047,0.712153182139792,10.951858221362887,38.32441128619063,96.87215876710019,36.58823529411765,96.58823529411765,9.647058823529413,49.01960784313725,5.764705882352941,0.006994
78.0,0.4158233816355189,10.956295201467611,0.42454442653472046,10.94471791545698,38.60849896177016,96.79949660463971,38.470588235294116,96.94117647058823,4.9411764705882355,39.21568627450981,9.529411764705882,0.018999
79.0,0.38161799075308983,10.963254366895328,0.42454442653472046,10.94471791545698,38.89006201157756,96.73257539488392,38.470588235294116,96.94117647058823,4.9411764705882355,39.21568627450981,9.529411764705882,0.007
80.0,0.34729635533386083,10.969615506024416,0.42454442653472046,10.94471791545698,39.16906220139927,96.67141304027466,38.470588235294116,96.94117647058823,4.9411764705882355,39.21568627450981,9.529411764705882,0.006001
81.0,0.31286893008046185,10.975376681190276,0.42454442653472046,10.94471791545698,39.44546217428088,96.61602593082094,38.470588235294116,96.94117647058823,4.9411764705882355,39.21568627450981,9.529411764705882,0.006
82.0,0.27834620192013093,10.98053613748314,0.42454442653472046,10.94471791545698,39.71922544523891,96.56642893221984,38.470588235294116,96.94117647058823,4.9411764705882355,39.21568627450981,9.529411764705882,0.004998
83.0,0.24373868681029498,10.985092303282643,0.42454442653472046,10.94471791545698,39.990316395518846,96.5226353750135,38.470588235294116,96.94117647058823,4.9411764705882355,39.21568627450981,9.529411764705882,0.011
84.0,0.20905692653530691,10.989043790736547,0.42454442653472046,10.94471791545698,40.258700266379094,96.48465704480884,38.470588235294116,96.94117647058823,4.9411764705882355,39.21568627450981,9.529411764705882,0.018001
85.0,0.17431148549531628,10.99238939618349,0.19737650165321163,11.00880752068699,40.5243431523814,96.45250417358699,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.66304
86.0,0.13951294748825047,10.995128100519649,0.19737650165321163,11.00880752068699,40.78721199417031,96.42618543212394,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.013001
87.0,0.10467191248588793,10.997259069509148,0.19737650165321163,11.00880752068699,41.04727457072476,96.4057079235438,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.024001
88.0,0.06979899340500216,10.998781654038192,0.19737650165321163,11.00880752068699,41.304499491067375,96.39107717802001,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.018
89.0,0.0349048128745672,10.999695390312782,0.19737650165321163,11.00880752068699,41.55885618541785,96.38229714863989,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.008001
90.0,1.2246467991473532e-16,11.0,0.19737650165321163,11.00880752068699,41.81031489577859,96.37937020844282,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.016002
91.0,-0.034904812874566954,10.999695390312782,0.19737650165321163,11.00880752068699,42.05884666594225,96.38229714863989,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.007003
92.0,-0.06979899340500191,10.998781654038192,0.19737650165321163,11.00880752068699,42.30442333091262,96.39107717802001,40.470588235294116,96.23529411764706,18.11764705882353,60.3921568627451,1.4117647058823528,0.006
93.0,-0.10467191248588768,10.997259069509148,0.18299337769509094,11.100473117423567,42.54701750573144,96.4057079235438,41.1764705882353,95.05882352941175,18.47058823529412,59.6078431372549,1.4117647058823528,0.448012
94.0,-0.13951294748825066,10.995128100519649,0.0707467431493427,11.10677379852814,42.78660257370574,96.42618543212396,42.0,95.0,0.0,26.0,14.0,0.421035
95.0,-0.17431148549531647,10.99238939618349,0.0707467431493427,11.10677379852814,43.02315267403163,96.45250417358699,42.0,95.0,0.0,26.0,14.0,0.015988
96.0,-0.2090569265353071,10.989043790736547,0.0707467431493427,11.10677379852814,43.256642688812086,96.48465704480884,42.0,95.0,0.0,26.0,14.0,0.009003
97.0,-0.24373868681029473,10.985092303282645,-0.12152074358225207,10.890352013073873,43.48704822946768,96.52263537501346,42.0,97.76470588235296,5.294117647058824,37.254901960784316,10.470588235294118,0.320033
98.0,-0.2783462019201307,10.98053613748314,-0.14667798019404277,10.936235145992987,43.71434562254126,96.56642893221982,42.470588235294116,97.1764705882353,5.529411764705882,36.86274509803922,10.470588235294118,0.256029
99.0,-0.3128689300804616,10.975376681190276,-0.14667798019404277,10.936235145992987,43.938511894898205,96.61602593082094,42.470588235294116,97.1764705882353,5.529411764705882,36.86274509803922,10.470588235294118,0.009
100.0,-0.3472963553338606,10.969615506024416,-0.14667798019404277,10.936235145992987,44.159524758326064,96.67141304027466,42.470588235294116,97.1764705882353,5.529411764705882,36.86274509803922,10.470588235294118,0.010002
101.0,-0.3816179907530896,10.963254366895328,-0.14667798019404277,10.936235145992987,44.37736259353853,96.73257539488391,42.470588235294116,97.1764705882353,5.529411764705882,36.86274509803922,10.470588235294118,0.008005
102.0,-0.4158233816355187,10.956295201467611,-0.41202571960842427,10.861919074707934,44.592004433590134,96.79949660463969,44.0,98.0,1.0,28.0,14.0,0.035004
103.0,-0.44990210868773006,10.94874012957047,-0.41202571960842427,10.861919074707934,44.80342994670921,96.87215876710019,44.0,98.0,1.0,28.0,14.0,0.008988
104.0,-0.48384379119933557,10.940591452551994,-0.41202571960842427,10.861919074707934,45.01161941855814,96.95054248027371,44.0,98.0,1.0,28.0,14.0,0.016002
105.0,-0.5176380902050417,10.931851652578137,-0.41202571960842427,10.861919074707934,45.21655373393109,97.03462685647345,44.0,98.0,1.0,28.0,14.0,0.008003
106.0,-0.5512747116339981,10.922523391876638,-0.41202571960842427,10.861919074707934,45.418214357900446,97.12438953710756,44.0,98.0,1.0,28.0,14.0,0.006987
107.0,-0.5847434094454733,10.912609511926071,-0.41202571960842427,10.861919074707934,45.61658331642428,97.21980670836732,44.0,98.0,1.0,28.0,14.0,0.008019
108.0,-0.6180339887498947,10.902113032590307,-0.41202571960842427,10.861919074707934,45.81164317642843,97.32085311777364,44.0,98.0,1.0,28.0,14.0,0.014001
109.0,-0.6511363089143133,10.891037151198633,-0.8822352749552591,10.743279630539504,46.00337702537738,97.4275020915397,47.0,99.0,19.0,58.0,3.0,1.509098
110.0,-0.6840402866513374,10.879385241571818,-0.8822352749552591,10.743279630539504,46.191768450349194,97.53972555270666,47.0,99.0,19.0,58.0,3.0,0.022016
